x,y,x1,y1,word
184,1975,266,32,"SEMI-PRIVATE"
460,1993,12,6,"-"
486,1977,45,39,"[NJ"
543,1977,36,39,"@"
595,1977,204,32,"RM145/DAY"
56,2022,116,32,"ROOM"
184,2022,66,32,"ICU"
262,2024,34,37,"@"
310,2024,207,31,"RM350/DAY"
54,2071,116,29,"ROOM"
182,2089,16,4,"-"
208,2071,232,31,"COMPANION"
54,2116,272,33,"RESPIRATORY"
334,2118,175,31,"THERAPY"
519,2136,16,7,"-"
545,2118,217,33,"BREATHING"
776,2120,190,33,"EXERCISE"
54,2165,284,31,"REGISTRATION"
350,2167,74,29,"FEE"
54,2212,240,31,"PROCEDURE"
306,2214,116,31,"ROOM"
54,2259,212,31,"PHARMACY"
276,2278,12,4,"-"
300,2259,158,33,"OTHERS"
470,2261,12,29,"1"
54,2352,22,30,"p"
54,2399,76,28,"PHA"
242,2307,24,32,"Y"
276,2323,12,6,"-"
300,2307,158,32,"OTHERS"
468,2309,20,30,"O"
216,2352,48,32,"CY"
276,2370,12,6,"-"
300,2354,205,32,"MEDICINES"
276,2415,12,6,"-"
300,2401,221,28,"INJECTIONS"
54,2444,220,32,"OPERATING"
286,2446,176,31,"THEATRE"
474,2448,180,29,"SUPPLIES"
54,2489,174,33,"NURSING"
240,2493,104,29,"CARE"
54,2538,318,33,"MISCELLANEOUS"
54,2583,168,33,"MEDICAL"
232,2585,182,33,"SUPPLIES"
52,2632,170,31,"MEDICAL"
230,2632,190,33,"SERVICES"
428,2651,16,4,"-"
452,2634,230,33,"TREATMENT"
52,2677,260,33,"LABORATORY"
320,2681,122,31,"TESTS"
52,2726,282,31,"LABORATORY-"
346,2728,130,29,"BLOOD"
488,2729,35,36,"@"
535,2729,56,30,"NO"
605,2729,159,30,"CHARGE"
52,2772,128,34,"HEART"
188,2772,202,34,"VASCULAR"
402,2774,260,34,"PROCEDURES"
52,2819,236,34,"EVALUATION"
300,2823,281,31,"-ASSESSMENT"
50,2868,82,31,"ECG"
144,2886,12,6,"-"
170,2868,106,33,"PLAN"
50,2915,82,31,"ECG"
144,2934,10,4,"-"
170,2915,102,33,"LONG"
286,2917,122,31,"LEADS"
420,2917,20,31,"ti"
454,2917,204,41,"(COMPLEX)"
50,2964,198,33,"DIETETICS"
48,3011,212,33,"ADMISSION"
276,3013,70,31,"FEE"
48,3063,126,30,"TOTAL"
198,3063,188,32,"HOSPITAL"
400,3065,183,32,"CHARGES"
1199,1674,167,34,"AMOUNT"
1396,1676,131,32,"PAYOR"
1438,1723,99,30,"DISC."
1251,1837,113,29,"200.00"
1464,1839,73,29,"0.00"
1217,1883,145,38,"3,576.38"
1464,1885,73,32,"0.00"
1273,1932,91,32,"30.00"
1464,1932,73,32,"0.00"
1251,1981,111,31,"725ß0"
1464,1981,73,31,"0.00"
1251,2028,111,31,"350.00"
1464,2028,73,31,"0.00"
1271,2077,91,29,"30.00"
1253,2122,109,33,"125.00"
1462,2124,73,31,"0.00"
1291,2171,71,29,"5.00"
1462,2173,73,29,"0.00"
1219,2218,143,35,"1,181.25"
1462,2220,73,31,"0.00"
1271,2264,91,32,"64.89"
1462,2266,73,32,"0.00"
1249,2313,113,32,"594.93"
1462,2315,73,30,"0.00"
1249,2360,111,31,"960.42"
1215,2405,143,37,"3,060.51"
1217,2452,143,35,"1,378.85"
1249,2499,111,29,"375.00"
1251,2546,109,31,"192.00"
1215,2591,30,35,"g."
1251,2591,109,33,"136.5B"
1217,2640,143,35,"11039.00"
1213,2686,147,34,"21180.40"
1460,2688,71,30,"0.00"
1287,2735,73,28,"0.00"
1460,2735,71,30,"0.00"
1215,2780,143,35,"1,168.00"
1460,2782,71,31,"0.00"
1287,2831,73,29,"0.00"
1460,2831,73,29,"0.00"
1267,2876,91,31,"60.00"
1458,2878,73,31,"0.00"
1267,2925,91,29,"77.52"
1458,2925,73,31,"o.co"
1245,2974,113,31,"240.00"
1458,2974,73,33,"0.00"
1265,3020,93,32,"25.00"
1458,3022,73,32,"0.00"
1189,3069,44,30,"26"
1245,3069,111,30,"77573"
1458,3071,73,30,"0.00"
1611,1676,99,34,"DISC."
1637,1839,73,29,"0.00"
1637,1885,73,32,"0.00"
1637,1932,73,34,"0.00"
1637,1981,73,33,"0.00"
1637,2030,73,31,"0.00"
1635,2079,75,29,"0.00"
1635,2124,73,31,"coo"
1635,2173,73,29,"0.00"
1635,2220,73,31,"0.00"
1635,2266,73,32,"0.00"
1635,2315,29,28,"o."
1585,2530,79,49,"SEO."
1633,2688,73,32,"0.00"
1631,2737,75,30,"0.00"
1631,2784,73,31,"0.00"
1631,2833,73,29,"0.00"
1631,2880,73,31,"0.00"
1631,2929,73,29,"0.00"
1631,2976,73,31,"0.00"
1631,3022,73,34,"0.00"
1631,3073,73,30,"coo"
1742,1676,86,34,"AMT"
1837,1678,124,32,"AFTER"
1871,1725,100,30,"DISC."
1855,1839,116,31,"200.00"
1826,1887,143,36,"3,576.38"
1875,1934,96,32,"30.00"
1855,1983,116,31,"725.00"
1855,2030,116,31,"350.00"
1875,2081,94,27,"30.00"
1855,2126,116,31,"125.00"
1899,2175,72,29,"5.00"
1828,2220,141,37,"1,131.25"
1875,2268,94,32,"64.89"
1853,2315,116,32,"594.93"
1877,2362,92,31,"60.42"
1919,2409,46,29,".51"
1919,2456,48,31,".85"
1919,2505,50,27,".00"
1875,2550,92,31,"92.00"
1855,2597,112,31,"136.58"
1824,2643,145,36,"11039.00"
1822,2690,145,35,"2,180.40"
1895,2739,72,28,"0.00"
1824,2784,141,37,"1,168.00"
1895,2835,72,29,"0.00"
1871,2882,94,31,"60.00"
1871,2931,94,29,"77.52"
1849,2977,114,32,"240.00"
1869,3024,94,34,"25.00"
1798,3073,165,33,"26'775.73"
2072,1678,78,32,"CST"
2076,1840,72,30,"0.00"
2076,1887,72,32,"0.00"
2076,1936,72,30,"0.00"
2076,1985,72,31,"0.00"
2076,2032,72,31,"0.00"
2076,2081,72,29,"1.80"
2074,2128,74,31,"0.00"
2074,2175,74,29,"0.30"
2074,2221,74,32,"0.00"
2074,2270,74,30,"0.00"
2074,2317,74,31,"0.00"
2074,2364,72,31,"0.00"
2074,2411,74,29,"0.00"
2074,2458,72,29,"0.00"
2074,2505,72,27,"0.00"
2072,2552,74,29,"0.00"
2076,2597,70,31,"1.60"
2072,2645,74,32,"0.00"
2072,2692,72,30,"0.00"
2072,2739,72,29,"0.00"
2072,2786,72,31,"0.00"
2070,2835,74,31,"0400"
2070,2882,74,33,"0.00"
2070,2933,74,29,"0.00"
2070,2979,74,32,"0.00"
2072,3026,72,32,"1.50"
2070,3075,72,31,"5.20"
2229,1680,177,30,"PAYABLE"
2287,1840,119,30,"200.00"
2257,1889,147,35,"3,576.38"
2309,1936,97,31,"30.00"
2287,1985,119,31,"725.00"
2287,2032,117,31,"350.00"
2307,2083,97,27,"31.80"
2289,2128,113,31,"125.00"
2329,2177,73,29,"5.30"
2259,2223,143,36,"1,181.25"
2307,2270,95,32,"64.89"
2287,2319,115,29,"594.93"
2287,2364,117,31,"960.42"
2257,2411,141,35,"3,060.51"
2259,2458,143,37,"11373.85"
2285,2505,117,29,"375.00"
2287,2552,115,31,"192.00"
2255,2599,145,35,"9,138.18"
2253,2692,147,35,"2,180.40"
2327,2741,73,31,"0.00"
2255,2788,143,35,"1,168.00"
2327,2837,71,29,"0.00"
2303,2884,95,31,"60.00"
2303,2933,93,31,"77.52"
2281,2981,115,32,"240.00"
2303,3028,93,32,"26.50"
2229,3077,40,29,"26"
2283,3077,113,33,"780.93"
